"txt","prob"
People's Summit 2017 MEGA THREAD via /r/SandersForPresident #feelthebern #election2016
,0.0716251
Psalm 34:13 Our country is the loser today. #Election2016 With God anything is possible.…
,0.223122
.@SampanNewspaper: talks about the Asian American vote in #Election2016, Report:…
,0.286827
We have about 300 running the USA who need to hear that. #Election2016 100X better than them all.
,0.633254
Congrats for progress in their stalwart efforts to troll the American ppl turn #election2016 into one long t…
,0.916945
For the record, Theresa May's petrified #GE2017 performance made Hillary Clinton in #Election2016 look like a virtuoso political campaigner
,0.974599
Ofcourse #DarkMoney Republicans ended up supporting Trump this last #Election2016 because they had subconsciously e…
,0.621298
Not only did Bernie get played by Hillary and the DNC, he got played by Comey and Lynch! #Election2016
,0.990942
The Right Side of History via /r/SandersForPresident #feelthebern #election2016
,0.269319
#NSA shld release convo bet if all abt grandkids 4 that influenced DEM primary…
,0.795078
Think about it, #repulicans #democrats #comeyday #notmypresident #election2016…
,0.188281
Liberal's Hateful Hearts #Trumps everything after #Election2016
,0.426456
The leftists fascists can't swallow the real 2 issues, did #Comey broke the law he colluded w/…
,0.134201
Ugh. I am SO tired of the bros insisting "Bernie would have won". No. He would not have. #fucksanders #election2016
,0.415213
question to be asked? What it means for #Comey and to the #collusion to influence #Election2016 by #LorettaLynch
,0.350445
Just Go! #election2016 #MakeVotesMatter #brexit
,0.331515
#ComeyHearing delivered the obvious, no #RussiaCollusion, but collusion by #Obama admin…
,0.238923
According to Former FBI Boss #JamesComey, the Russians interfered with #Election2016 #Trump is a LIAR. #Though……
,0.00465565
#FridayFeeling #Election2016 post #Election #THROWBACK: "THE DIRGES" #SATIRE #HOGAN
,0.763574
who cares abt #ImWithHer DEMs cheated 4 her wish her 2 go away she's core problem in DEM narrative l…
,0.960567
Video: David Shomento #election2016
,0.942281
Obama knows it when he sees it. via /r/SandersForPresident #feelthebern #election2016
,0.43328
...how would America ...and the world ...be different today if the DNC had simply not stacked the deck for HRC? #Election2016
,0.965937
Video: Hung Parliament as Theresa May Fails to Get Majority #election2016
,0.91052
#ComeyDay result rather like #election2016: most certainly lost... But is still president.
,0.613003
Will Kensington swing red for the first time ever? #Election2016
,0.588313
Tory and DUP coalition... Dear god  #GE2017 #Election2016 #GeneralElection #hungparliament #CoalitionOfChaos
,0.443857
Brit in #GE2017 #BlameLabour Oz in #Election2016 #BlameLabor NeoCons just don't see the irony eh. #auspol
,0.748392
#HillaryClinton didn't lose #Election2016 coz of #Russia, it was for backing #WallStreet. Pains #CharlieRose admit this, #JamieDimon a chum.
,0.790567
The whole Russian Narrative is a fiction #HillaryClinton (disgraced former secretary o…
,0.421872
#Election2016 #RealNews isn't your stupid #Russia Interfered, #CBSThisMorning. It is that #BernieSanders REALLY won, BEATING #CitizensUnited
,0.418355
If #Election2016 was today it wouldnt be close enough for colluding #Trump #Russia #UK #Bigoil to cheat. Trump 34% #FoxNews #CNN #MSNBC
,0.453231
Wrong. You are absolving Dems of responsibility they had to convince their voters as well as other voters to vote f…
,0.394473
Dems should tie the entire GOP to Trump, not try to poach moderate GOP voters as HRC did in #Election2016
,0.185466
#Americans were cheated on #USA #Election2016 and #Republicans are defending If this was #America not sleep.
,0.717565
#PaulRyan is an idiot with that silly talk about inexperienced. Clearly shows #Russians hacked in the #USA #Election2016.
,0.0842699
time for Dems to surrender #Election2016 time for MSM to stop bullying time for justice #SethRich
,0.914923
Did #LorettaLynch interfere in #Election2016? #Emailgate #Hillary #JamesComey
,0.949847
Motherfucker win #Election2016 just Run govt be presidential ! Instead this tough guy teflon Dictator abused threats upstruction #ComeyDay
,0.506544
Can't tell if #Election2016 or #ComeyDay
,0.460099
This election is a bridge to the past. #campaign2016 #election2016
,0.603622
Give attention to actionable laws that make America racial profiling proof. End racial profiling in #Election2016 #BlackLivesMatterVictims
,0.743591
It's like #Election2016
,0.520866
While bordered the extreme ideologically, their personality won votes. #GE2017…
,0.402259
are two different men; but they proved that "electability" is an overrated quality. #GE2017 #Election2016
,0.250885
It seems that #realPutinChump was right about #LittleMarco all along #RussiaGate #Election2016 #USA
,0.537932
The article in is the most plausible writing there since #Election2016 One Correction. The Damage Done ✅ was by EliteEstab
,0.261677
Imagine living through #election2016 twice in a year. LORDY! #GE2017
,0.648128
I THOUGHT #AlGore was a big sore loser? The BIGGEST of ALL is #hillaryclinton ! 6 mos into 2017 SHE still CANT get passed #Election2016
,0.733022
So, how do we get to do our own #election2016 redo? #GE2017
,0.744835
.@NSAGov Leaker #RealityWinner Pleads Not Guilty, Denied #Bail #FBI #JusticeDepartment…
,0.9155
Oh, Ted's still pissed over #Election2016… For some reason, so's Trump…
,0.342783
It's our party and we'll cry if we want to #Election2016
,0.774038
Sorry, there's no evidence of this. I thought everyone was past this, though. #HillaryClinton #BernieSanders…
,0.365921
Democrats and #Russia is like Republicans and the #Emails There was #Collusion in the #DemocraticPrimary…
,0.316083
Boy, does that sound familiar #Election2016
,0.582107
Prof explains how ONE #hacked Diebold machine can steal an entire #Election2016
,0.113149
How was used in the run up to #election2016? survey explores: #socialmedia
,0.997879
How far will #whitemalesupremacyMEDIA  go to AVOID talking TO AFRICAN-AMERICANS? re #Election2016 ?
,0.935383
We can always rely on to serve up a healing pile of #falseequivalence. #Election2016 flashbacks #complicit #craven. #hardball
,0.686425
There is more than one important #election2016 happening this November:
,0.642919
#ILGOP #kochbros BILLIONAIRE .@GovRauner hired and appointed a deputy gov from GA to allow #Russia…
,0.74929
#MyOneFearOfAging is that I won't live long enough to get the full and complete story on #Election2016 once it's all made declassified
,0.786941
Video: Should GOP candidates be disqualified from special election? #election2016
,0.618826
Politico symposium on the Comey hearing: analysis by #politics…
,0.697576
#PoliticalCompass I'm represented by the red dot; the other graphs show #Election2016 #UKElection2017 from…
,0.30435
Video: Reading City Council election mishap #election2016
,0.89461
srsly…
,0.302378
We learn: #LorettaLynch attempted to influence #election2016; #Comey confesses leaking; #Comey is conflicted between politics and profession
,0.326051
Uh, yeah, we cd say he's NEW 2 telling truth. Look at his business record everything that's transpired since…
,0.161967
#PoetJPHogan #satire #Election2016 #throwback 4 #COFFEE"THE DIRGES" #NYC…
,0.70873
That #Comey tipped the scale #election2016! Comey sld have said NO 2 #POTUS45 (like) #Seinfeld said 2 #Kesha
,0.31654
Had Comey bn honest during #Election2016 discussed TrumpTeam's Russian connections as well as HRC's emails it would have bn fair #fact
,0.580851
Russian interference in #Election2016 was incidental. People are missing the point. It's not what they did ... it's WHY they did it. Think!
,0.336132
Sounds like, Comey, being a Republicon, really didn't want Hillary to win the #Election2016. Regardless of everything else.
,0.985649
#Election2016 #DemExit #BernieOrBust No surprise here ---&gt; The Democratic Party Is in Worse Shape Than You Thought
,0.397297
The US #election2016 gave us #Covfefe then French #presidentielles2017 was a wonder,now #GE2017 the world id waiting we don't expect less
,0.907581
This has always been only about "erase the black man and his legacy" - that's what #Election2016 was. It's gross.
,0.470212
Are you sure you're not getting that confused with #Election2016?
,0.374068
Democrats were waiting for this moment in the end, they were disappointed. Where have we seen this before?  #Election2016 #CNN #FakeNews
,0.792734
Now you have to cast the entire #Election2016 miniseries only using #Friends actors.
,0.515156
I guess #ComeyDay didn't end up drying up those #liberal #tears from the #election2016. Visit my page/…
,0.52579
Ha. So true... #election2016 #vote #datenight #parenting #parenthood #rockandroll
,0.997848
Video: GINA WITH DOBSON #election2016
,0.981896
Video: JOE SHELBY ELECTION DESK #election2016
,0.932049
"I'm going to give you the worst choices imaginable!" -- US #Election2016 "Hold my beer." UK #GE2017
,0.409457
#Comey in his own words though, says he doesn't believe #Russian hacking changed even a single vote…
,0.270603
So we just ignore the fact that then AG Loretta Lynch told #Comey to downplay FBI investigation on #Clinton during #election2016 #ComeyDay
,0.99828
Dinner w/ #Putin. Defeat of #Clinton. Resistance under #Trump. #JillStein responds to it all. #Election2016…
,0.510219
#ComeyHearings exposed that worked hand in hand w/ and during #Election2016 #TCOT
,0.885551
Already tired of #MarcKasowitz. #TrumpRussiaInvestigation #NotMyPredisent #JamesComeyTestimony #comeyvstrump #Putin #Election2016
,0.0487728
Or you could care that Russia influenced #Election2016 ask pertinent questions to move inv…
,0.505982
Told you. #Russia #Trump #Comey #Election2016 #FakeNews
,0.492329
We’re Not in a Civil War, but We Are Drifting Toward Divorce - #politics…
,0.416374
#Comey in his own words, says he's confident that no #votes were changed in the #Presidential #Election2016 by #Russian interference.
,0.0587395
(2/2) a part of election16, then by default should also be included in ongoing scope of…
,0.193767
Exercising my democratic right. #fishandchips #election2016 Watchet
,0.536887
Trying to turn this on Comey. #ComeyDay #DonaldTrump #FBI #Russia #Election2016
,0.328879
So even after 17 intelligence agencies tell #Trump #Russia interferred with #Election2016 #DonaldTrump was not in the least concerned #Comey
,0.2093
Further proof the only interference in #Election2016 was by #Democrats (as if there was any doubt)!
,0.398372
Victory is Dead #Election2016
,0.693399
Nobody has produced ONE SHRED OF EVIDENCE that the russians hacked the DAMN #ELECTION2016. How do we know? Which computers? #SethRich
,0.445932
If you won't admit POTUS is "truth-challenged" after what we ALL saw heard in #Election2016, you are not to be trusted.
,0.430463
#ComeyTestimony provides insight into his internal machinations concerning matters affecting the #Election2016.
,0.659854
Trump Proud!!   Flashback Thursday!!  #MAGA  #TrumpTrain #Election2016
,0.938773
#ComeyTestimony made it clear of #russian involvement in our #election2016 Time for a #newelection. Use the #EmolumentsClause
,0.60227
As #ComeyTestimony unfolds, check out what has to say. #RussiaGate #Election2016 #electionfraud…
,0.170628
Trump Campaign did not work with Russians to win #election2016 He worked with the American people: over 63 million who voted for him. He won
,0.304727
This image still haunts me from #Election2016 it's #Dumbfuckistan's dream USA via Trump/Pence. *shudders*
,0.0827206
John McCain didn't GetTheMemo that today's hearing was about #TrumpRussiaCollusion #Election2016 NOT ABOUT HILLARY CLINTON #ComeyTestimony
,0.996738
#ComeyTestimony = #Losergate - a witch hunt run by losers who can't stand the fact won #Election2016
,0.956378
#ScholarsOnTAP — Meet Matt Gentzkow: On the role of #fakenews in #Election2016…
,0.826063
#WTF - Why #McCain trying to use #comeyHearings about #HillaryClinton's #email link it with #Russian interference in #Election2016.? #BS
,0.170041
#FBI investigating #Russia for #election2016 interference - #trump may or may not be involved.
,0.497248
Trust me. I am not defending Comey, but he would have to be a complete fool NOT to believe POTUS is "truth-challenged" after #Election2016.
,0.0769771
.@SenJohnMcCain concluding an investigation re:#Hillary's #emails has zero to do w/ investigating #Russian interference in #Election2016!
,0.31766
Have utmost respect for him but really miss more centrist from 15 yrs ago #butheremails #ComeyTestimony #Election2016
,0.360677
For #Putin, who won the #election2016 didn't really matter; delegitimizing liberal #democracy was enough #RussiaGate
,0.826486
Obligatory bike "Polling Station" pic. #bromptonlife #bromptonbicycle #voting #election2016…
,0.62693
Republicans better not cut off again. #ComeyDay #Election2016 #SenateIntelHearing #TrumpRussia
,0.362875
Comey on why Russia interfered in #Election2016. #ComeyTestimony #ComeyHearing
,0.0311385
#Election2016 should be nullified or #HillaryClinton declared winner w 3mil more votes. Entire…
,0.437005
Comey: No doubt Russia meddled in election. #ComeyTestimony #ComeyHearing #RussiaGate #Election2016
,0.0158106
#Election2016 #Election2020 #SpecialElections2017 But and aren't concerned about it, inste…
,0.555457
"I don't think Putin is a Republican, or a Democrat. He's an opportunist." #ComeyDay #Election2016
,0.0569557
More details about former #AG #LorettaLynch and campaign scheming in #election2016 #ComeyDay
,0.297065
"I don't think Putin is a Republican or a Democrat, he's an opportunist." - #ComeyDay #Election2016 #Putin #TrumpRussia
,0.0059797
At #NorthsideFestival says talking about gender and sexism in #Election2016 is not an excuse, it's part…
,0.420674
What about #Comey's interference in #Election2016 in the #Trump admin, which was far worse crippling 2 America…
,0.0482115
#Liar The Russians interfered in #Election2016
,0.0114215
"That happened." #Russia #interference #election2016 #ComeyTestimony
,0.0422289
Comey counters Trump re: Russia. They did interfere with #Election2016 However, Trump is team Putin despite evidence. #ComeyHearing
,0.00336893
confers interferred in #Election2016 #Russian is a #TRAITOR
,0.0235443
best buddy, Putin. #Election2016
,0.0791907
Who invited Russia to meddle in our #Election2016? #Lying45 #PutinPuppet Someone who is taking billions of $$ from…
,0.571351
Comey: "Russia interfered with #Election2016." #ComeyHearing
,0.057437
"There's no fuzz on that" ~ #JamesComey on #RussiaGate #Election2016 #Trump
,0.536631
What's more serious, attempted #hacking #Election2016 to help successfully…
,0.610251
I'm so sad this didn't work out. Well, he got my vote. #Election2016
,0.663547
What we've learned so far on #ComeyDay 1)The Far Left, the Deep State #DNC are still EXTREMELY butt hurt over results of #Election2016 ...
,0.956984
Ditto ditto #Election2016 could have had such a different outcome!
,0.952951
I've little sympathy for James Comey because the way he handled email investigation during #election2016
,0.0427665
Did helped beat several superior candidates in #GOPprimary…
,0.698878
If that were case, Obama coulda fired Comey for his interference in #Election2016, sp…
,0.238418
Did help beat in…
,0.800782
Will this be the #ComeyDay #UnaskedQuestion if #Russia hacked #Election2016, were they ALSO #hacking #GOPprimary?
,0.262736
I think after #Election2016 and Hillary's butthurt loss, #ComeyHearing is my 2nd favorite day... #suckit,…
,0.640179
#JamesComey says #BillClinton tarmac meeting w/frmr AG Loretta Lynch compelled him to go public w/Clinton investigation before #Election2016
,0.985814
It's baffling that an *Independent* org continues to be denied the very tools they would need for proof of…
,0.237765
SELLING PROPWASH FLIGHTLINE: #Comey admits #FBI never had access to #DNC computers during #Russia #Hack #Election2016
,0.71592
Listening on app Thanks for your work, guys #ComeyHearing
,0.612049
#JamesComey testifies #Russia had "massive effort" to target #Election2016 and went after hundreds of political/electoral entities. #ncpol
,0.912373
At the end of the day, Russia or not, #election2016 has shown the world that in America women are not respe…
,0.294658
No *doubt* of Russia collusion yet admittance of NO EVIDENCE of manipulation of votes in #Election2016 #Comey
,0.031011
Apr 3 2017 #MediaEcon DC #SocialEngineering How Russian Twitter Bots Pumped Out #FakeNews During #Election2016
,0.599396
Comey: "no doubt" that Russia interfered w/#Election2016 Russian govt. knew. "Confident" that no votes were altered. #ComeyHearings
,0.243756
#Comey has no DOUBTS #Russia interfered in #Election2016. Comey also has NO EVIDENCE Russia interfered. #ComeyDay #JamesComey #MAGA #TRUMP
,0.822695
"I'm confident" no #Election2016 votes were altered, Comey tells Senate Intel Committee
,0.373532
#JamesComey tells "no doubt" #Russia interfered in last year's #Election2016 during start of Senate panel hearing. #Congress
,0.0301718
fmr director James Comey says he has no doubts - "none" - #Russia attempted to i…
,0.0373856
We're lucky enough to live in a country with equality #freedomofspeech have your say❤️#vote #30plusblogs…
,0.588837
"None" says Comey when asked if he has any doubt #Russia tried to interfere in #Election2016.
,0.0953048
They're saying is there to rattle Donald, from his own playbook. #Election2016 #ComeyDay
,0.170094
WHAT'S COMEY GOING TO SAY, today? #ComeyDay #American #politics #fbi #jamescomey #Russia #Putin #Trump #collusion #Testimony #election2016
,0.0150024
Amid Tensions With President Trump, ... #AttorneyGeneral #DonaldTrump #Election2016…
,0.531632
#JamesComey has been jerking the whole country around for a year, interfering in #election2016, has no credibility left. In over his head.
,0.62699
So easy to vote even I can do it! #vote #election2016
,0.480359
Don't know about you, but I'm with Comey in spirit today! #JamesComey #FBIDirector #HouseOfCards #NathanGreen #Election2016
,0.146769
Have #OldTweets of praising #JamesComey during #Election2016? Roll them out! The #TRAITORS are SMEAR CAMPAIGNING! #ComeyDay
,0.516032
Today the UK votes in #GE2017 for it's future, and the US learns a bit more about who Putin voted for in #Election2016 #VoteLabour #ComeyDay
,0.0394624
What if the #Russian's portal into #Hacking #Election2016 was actually #Hillary's Blackberry- and not the #Awan Bro…
,0.919909
Alleged #NSA Leaker to Plead Not Guilty #DonaldTrump #Election2016 #NSALeaker…
,0.415615
House to vote on killing Dodd-Frank today via /r/SandersForPresident
,0.681946
Dismantle white supremacy, dismantle the patriarchy #nototrump #election2016
,0.628642
The plot thickens... #Russia #hackers #election2016 #politics
,0.0903307
Video: Shannon Straight #election2016
,0.87235
This is how we roll at Get Cutie Boy Parker...#election2016 #carolinelucas #makeitcount
,0.823332
Jun 7 17 #MSS #Sexism #Election2016 Summ: FullReport
,0.761161
Jun 8 2017 DC #GenderEcon has been working on #Election2016 data and #MSS #Sexism was a big #Factor.
,0.888401
DT is a mobster, he wins by any means and this now includes the US #election2016. He will not…
,0.303917
Comey says DT not under investigation which nullifies the entire premise of Putin's meddling i…
,0.107531
I assume you will be watching for update today on voting in #Wisconsin in the #Election2016. #unhackthevote
,0.572829
Follow for great, but disturbing, analysis of voting in #Election2016. #unhackthevote
,0.244418
TFW your hotel tv has #Netflix and you can relive #Election2016 while you work  #MAGA #PresidentTrump
,0.998725
Frumpy Ruth Marcus got cucked by TRUMP on national tv #Election2016. She's a 1/10, folks #MAGA…
,0.677858
#JamesComey Wont Accuse #PresidentTrump Of Obstructing Justice #SenateIntelHearing #RussiaGate #Election2016 #lnyhbt
,0.795467
In this election, flippant remarks seem to be the way to go. #calvinandhobbes #election2016
,0.853091
That was me during US #Election2016. Hopefully I don't get a chance to vote out in 2020.
,0.461189
Man like Corbz!  . . . . #jeremycorbyn #jc4pm #election2016 #labour #vote #rundmc #london #uk
,0.885647
Scary part is, media helped #trumprussia steal the #election2016 for this very reason.
,0.967356
Life comes at you fast! #Humor #Politics #Hillary #Election2016 #Pepe
,0.935232
